no,symbol,name,sLocX,sLocY,wLocX,wLocY,block,period,group,isotops,neutrones,e_config,shells,state,type,metal,nonmetal,metaloid,boil,melt,molar_heat,specific_heat,fusion_heat,vapor_heat,thermal_cond,atomic_radius,atomic_mass,density,e_affinity,e_negativity,radioactive,natural,discovery,found_by,named_by
1,H,Hydrogen,0,0,0,0,s,1,1,3,0,1s1,[1],Gas,Nonmetal (other),,yes,,20.271,13.99,28.836,14.3,0.12,0.9,0.18,0.79,1.008,0.08988,72.769,2.2,,yes,1766,Henry Cavendish,Antoine Lavoisier
2,He,Helium,850,0,992,0,s,1,18,5,2,1s2,[2],Gas,Noble Gas,,yes,,4.222,0.95,,5.19,0.01,0.08,0.15,0.49,4.0026022,0.1786,-48.0,,,yes,1868,Pierre Janssen,
3,Li,Lithium,0,50,0,32,s,2,1,5,4,1s2 2s1,"[2, 1]",Solid,Alkali Metal,yes,,,1603.0,453.65,24.86,3.58,3,136,84.8,2.1,6.94,0.534,59.6326,0.98,,yes,1817,Johan August Arfwedson,
4,Be,Beryllium,50,50,32,32,s,2,2,6,5,1s2 2s2,"[2, 2]",Solid,Alkaline Earth Metal,yes,,,2742.0,1560.0,16.443,1.83,7.9,292,200,1.4,9.01218315,1.85,-48.0,1.57,,yes,1798,Louis Nicolas Vauquelin,
5,B,Boron,600,50,832,32,p,2,13,6,6,1s2 2s2 2p1,"[2, 3]",Solid,Metalloid,,,yes,4200.0,2349.0,11.087,1.03,50.2,508,27.4,1.2,10.81,2.08,26.989,2.04,,yes,1808,Joseph Louis Gay-Lussac,
6,C,Carbon,650,50,864,32,p,2,14,7,6,1s2 2s2 2p2,"[2, 4]",Solid,Nonmetal,,yes,,,,8.517,0.71,117,,140,0.91,12.011,1.821,121.7763,2.55,,yes,-3750,Ancient Egypt,
7,N,Nitrogen,700,50,896,32,p,2,15,8,7,1s2 2s2 2p3,"[2, 5]",Gas,Nonmetal,,yes,,77.355,63.15,,1.04,0.72,5.57,0.03,0.75,14.007,1.251,-6.8,3.04,,yes,1772,Daniel Rutherford,Jean-Antoine Chaptal
8,O,Oxygen,750,50,928,32,p,2,16,8,8,1s2 2s2 2p4,"[2, 6]",Gas,Nonmetal,,yes,,90.188,54.36,,0.92,0.44,6.82,0.03,0.65,15.999,1.429,140.976,3.44,,yes,1771,Carl Wilhelm Scheele,Antoine Lavoisier
9,F,Fluorine,800,50,960,32,p,2,17,6,10,1s2 2s2 2p5,"[2, 7]",Gas,Halogen,,yes,,85.03,53.48,,0.82,0.51,6.62,0.03,0.57,18.9984031636,1.696,328.1649,3.98,,yes,1810,André-Marie Ampère,Humphry Davy
10,Ne,Neon,850,50,992,32,p,2,18,8,10,1s2 2s2 2p6,"[2, 8]",Gas,Noble Gas,,yes,,27.104,24.56,,1.03,0.34,1.71,0.05,0.51,20.17976,0.9002,-116.0,,,yes,1898,Morris Travers,
11,Na,Sodium,0,100,0,64,s,3,1,7,12,1s2 2s2 2p6 3s1,"[2, 8, 1]",Solid,Alkali Metal,yes,,,1156.09,370.944,28.23,1.23,2.6,97.42,142,2.2,22.989769282,0.968,52.867,0.93,,yes,1807,Humphry Davy,
12,Mg,Magnesium,50,100,32,64,s,3,2,8,12,1s2 2s2 2p6 3s2,"[2, 8, 2]",Solid,Alkaline Earth Metal,yes,,,1363.0,923.0,24.869,1.02,8.48,128,156,1.7,24.305,1.738,-40.0,1.31,,yes,1755,Joseph Black,
13,Al,Aluminium,600,100,832,64,p,3,13,8,14,1s2 2s2 2p6 3s2 3p1,"[2, 8, 3]",Solid,Metal,yes,,,2743.0,933.47,24.2,0.9,10.71,284,237,1.8,26.98153857,2.7,41.762,1.61,,yes,1825,,Humphry Davy
14,Si,Silicon,650,100,864,64,p,3,14,8,14,1s2 2s2 2p6 3s2 3p2,"[2, 8, 4]",Solid,Metalloid,,,yes,3538.0,1687.0,19.789,0.71,50.21,359,149,1.5,28.085,2.329,134.0684,1.9,,yes,1823,Jöns Jacob Berzelius,Thomas Thomson (chemist)
15,P,Phosphorus,700,100,896,64,p,3,15,7,16,1s2 2s2 2p6 3s2 3p3,"[2, 8, 5]",Solid,Nonmetal,,yes,,,,23.824,0.77,0.66,12.4,0.24,1.2,30.9737619985,1.823,72.037,2.19,,yes,1669,Hennig Brand,
16,S,Sulfur,750,100,928,64,p,3,16,10,16,1s2 2s2 2p6 3s2 3p4,"[2, 8, 6]",Solid,Nonmetal,,yes,,717.8,388.36,22.75,0.71,1.73,45,0.21,1.1,32.06,2.07,200.4101,2.58,,yes,-2000,Ancient china,
17,Cl,Chlorine,800,100,960,64,p,3,17,11,18,1s2 2s2 2p6 3s2 3p5,"[2, 8, 7]",Gas,Halogen,,yes,,239.11,171.6,,0.48,6.41,20.41,0.01,0.97,35.45,3.2,348.575,3.16,,yes,1774,Carl Wilhelm Scheele,
18,Ar,Argon,850,100,992,64,p,3,18,10,20,1s2 2s2 2p6 3s2 3p6 4s1,"[2, 8, 8]",Gas,Noble Gas,yes,,,87.302,83.81,,0.76,2.32,76.9,102.5,2.8,39.9481,1.784,-96.0,,,yes,1807,Lord Rayleigh,
19,K,Potassium,0,150,0,96,s,4,1,8,22,1s2 2s2 2p6 3s2 3p6,"[2, 8, 8, 1]",Solid,Alkali Metal,,yes,,1032.0,336.7,29.6,0.52,1.18,6.53,0.02,0.88,39.09831,0.862,48.383,0.82,,yes,1894,Humphry Davy,
20,Ca,Calcium,50,150,32,96,s,4,2,14,20,1s2 2s2 2p6 3s2 3p6 4s2,"[2, 8, 8, 2]",Solid,Alkaline Earth Metal,yes,,,1757.0,1115.0,25.929,0.65,8.54,154.7,201,2.2,40.0784,1.55,2.37,1.0,,yes,1808,Humphry Davy,
21,Sc,Scandium,100,150,512,96,d,4,3,15,24,1s2 2s2 2p6 3s2 3p6 4s2 3d1,"[2, 8, 9, 2]",Solid,Transition Metal,yes,,,3109.0,1814.0,25.52,0.57,14.1,332.7,15.8,2.1,44.9559085,2.985,18.0,1.36,,yes,1879,Lars Fredrik Nilson,
22,Ti,Titanium,150,150,544,96,d,4,4,9,26,1s2 2s2 2p6 3s2 3p6 4s2 3d2,"[2, 8, 10, 2]",Solid,Transition Metal,yes,,,3560.0,1941.0,25.06,0.52,14.15,425,21.9,2,47.8671,4.506,7.289,1.54,,yes,1791,William Gregor,Martin Heinrich Klaproth
23,V,Vanadium,200,150,576,96,d,4,5,9,28,1s2 2s2 2p6 3s2 3p6 4s2 3d3,"[2, 8, 11, 2]",Solid,Transition Metal,yes,,,3680.0,2183.0,24.89,0.49,21.5,444,30.7,1.9,50.94151,6.0,50.911,1.63,,yes,1801,Andrés Manuel del Río,Isotopes of vanadium
24,Cr,Chromium,250,150,608,96,d,4,6,9,28,1s2 2s2 2p6 3s2 3p6 4s1 3d5,"[2, 8, 13, 1]",Solid,Transition Metal,yes,,,2944.0,2180.0,23.35,0.45,21,339.5,93.9,1.9,51.99616,7.19,65.21,1.66,,yes,1794,Louis Nicolas Vauquelin,
